data:text/csv;;;
Type;Name;Id;Sensor
IfcBuilding;Building;00tMo7QcxqWdIGvc4sMN2A;
IfcBuildingElementProxy;MORPH-012;3Jie$Likz6ORbtvsDR1ky4;
IfcBuildingElementProxy;CW - 100;1Tvh1ouuv5i8IqVTZSan_X;
IfcBuildingElementProxy;CanalBed;1M7_ynaaDAhekUh4ulcwCU;
IfcBuildingElementProxy;CanalBed;1W081DByjCQujjZ4s_7DR3;
IfcBuildingElementProxy;Umlauf;2cyTtvWGvF_v0CQVLse3zn;USR02
IfcBuildingElementProxy;CanalBed;1TUuoFLxXA4gT51z1Gd8TO;
IfcBuildingElementProxy;CW - 100;2ozm2hnDHAUepQjPvUempE;
IfcBuildingElementProxy;CanalBed;0f4SsU4kvE_9Fh7TclKeux;
IfcBuildingElementProxy;Umlauf;1RtZu2Lh57kP81ZZ59rWcW;USL02
IfcBuildingElementProxy;Water;0In9GSkUj0kAjvuqTrNojT;R001
IfcBuildingElementProxy;Water;2UFCi7SOP2WBqIi4NDVGdu;R002
IfcBuildingElementProxy;CanalBed;0$mMp2ZT9CMxZf6u05vf1r;
IfcBuildingElementProxy;CanalBed;1_rS4s1KP7XxdCb4GZhl0D;
IfcBuildingElementProxy;CanalBed;0nBSBje2H6hwTWA2UXsBwP;
IfcBuildingElementProxy;CanalBed;3ImFrpR$HCAP_WlUveFJ59;
IfcBuildingElementProxy;Water;1F0JmpnczAEgnqFNgI92m6;R003
IfcBuildingElementProxy;Umlauf;0PRfSFLs92guTOlGpgO7QF;USR03
IfcBuildingElementProxy;Umlauf;3tZrhh4SrFVwuL3qYBnJm6;USL03
IfcBuildingElementProxy;CW - 100;1KfKS0gXf9mwvChYxxRHCw;USL01
IfcBuildingElementProxy;CanalBed;2qc6u8DGP6FeoXjW0uQvYc;
IfcBuildingElementProxy;CW - 100;3WJzcIre5CJw7MdBTzLw$G;USR01
IfcBuildingElementProxy;FU - 003;38yP4SjU1Fexyylbr9ysyn;
IfcBuildingElementProxy;FU - 003;1F0S9CFWr9bPHSOurDGvVP;
IfcBuildingElementProxy;FU - 003;1S7R6ws_P7ShfzLP6FBqAp;
IfcBuildingElementProxy;FU - 003;2eMUNuwv598OQnjOrNfzYb;
IfcBuildingElementProxy;FU - 003;30ZVPzXgX2TPaIpTh1OJdZ;
IfcBuildingElementProxy;FU - 003;23j7TeBl5C$BltNiQCx8Nb;
IfcBuildingElementProxy;FU - 003;2P$kW18k1FSe4ChQGK9Ycu;
IfcBuildingElementProxy;FU - 003;3Z7pIOvWfDzPVoJnT2jhSa;
IfcBuildingElementProxy;FU - 003;2JEdWBYVLCbwqQQayC2FM8;
IfcBuildingElementProxy;FU - 003;0peozcnnzBLQHWarVykDqr;
IfcBuildingStorey;Lower CanalBed;1oZ0wPs_PE8ANCPg3bIs4j;
IfcBuildingStorey;Surrounding;2F0V3QPDDFMRTpJqxqPeZR;
IfcBuildingStorey;Upper CanalBed;3y21AUC9X4yAqzLGUny16E;
IfcBuildingStorey;Upper WaterLevel;3LWQo5PgT5evQ1Fv5qAAA3;
IfcColumn;Column;3BI7AanRz5EArnBpql1LQn;
IfcColumn;Column;2eJ8w7pSf6DBWBLglcAJRX;
IfcColumn;Column;00wI6lIvjF0h__IUgb2eEL;
IfcColumn;Column;2KmIbuDh10mODelS9eTUZJ;
IfcColumn;Column;2Z48VUalHBkwGOZtcuUbpZ;
IfcColumn;Column;1A6QmDfFvEHex_4EDzbARm;
IfcColumn;Column;2ue243QJ5BNwsmHUwr9oyb;
IfcColumn;Column;0KoctRAHj92OLe8cC02S_l;
IfcColumn;Column;1eutXpuZb6LPHGx97ctLK2;
IfcColumn;Column;1EQCQsANf9Z9_e2Dsl0g9j;
IfcColumn;Column;3Od9jnwdf0TR0LmiTIyVd6;
IfcColumn;Column;1srZ$VSon1bAk4iU2r3XLt;
IfcColumn;Column;2rlM0L$gb6ZBjgKYNv_Smg;
IfcColumn;Column;3hMi4$30b8VPcRRTxVRmCo;
IfcColumn;Column;2lRNVBRZn0ix4ABFEBC19d;
IfcColumn;Column;0HlY9juKj41u9SGIe6eVSV;
IfcColumn;Column;3hMnRxF_5F_RahWAxLhGbf;
IfcColumn;Column;3ENVRqOff83v8avOZC4OXM;
IfcColumn;Column;3nSH2OCED6kwU4cvJoJodj;
IfcColumn;Column;0cJOqCZpz5TvuhKLFgva9j;
IfcColumn;Column;0m0E_5rpTD8elGyLUtT9Cu;
IfcColumn;Column;16xkFwdAH1EfpcumHuCUiv;
IfcColumn;Column;0HUuhGE2T1AwI8Uq__xEyQ;
IfcColumn;Column;2oLEjbUHD5jfj1XItNqh8I;
IfcColumn;Column;2WagPJNRr2GfUScKCdYRwW;
IfcColumn;Column;0WPXNjJJT87gGyeQAwXdNR;
IfcColumn;Column;2_sSGc9nn6QhIlwyOIO5Uc;
IfcColumn;Column;1gvXMuhKz7AQQVk4Cw6Ln8;
IfcDistributionControlElement;UltrasonicSensor;1bjALNe19BcO68YoPIpOu_;
IfcDistributionControlElement;DepthSensor;0nv5bie5r4AhhkrCbVL$Wn;
IfcDistributionControlElement;DepthSensor;25s0jSmSH4whopLALj9wxv;
IfcDistributionControlElement;DepthSensor;2oJVCaCyn2xPl5kA2E22TU;
IfcDoor;WaterGate;2D$DVj91DFBAYoo92vPkz6;
IfcDoor;WaterGate;10hYaAjyDAZPzS9rkXbZO4;
IfcDoor;WaterGate;3X9NxJ6M1Ffgl43yjRfQU$;
IfcDoor;WaterGate;3KuWETxKbFtPIyTFP2SLnj;
IfcMember;SF STRUCTURE - 005;3ZizCmGyb6fOWzHVGqzPOZ;
IfcProject;Projekt;344O7vICcwH8qAEnwJDjSU;
IfcRailing;RAILING - 004;1Dj9RKQb5DmglcKiNAuIBQ;
IfcRailing;RAILING - 004;3hYB_EzebFyuSHVHG93tkx;
IfcRailing;RAILING - 003;2jX0N8RqXD6QX_u7HE$ia6;
IfcRailing;RAILING - 004;0eyUQlYeD1nRZK7QzeYna7;
IfcRailing;RAILING - 005;1PIyBGtn5CpR6duPCm4M0d;
IfcRailing;RAILING - 005;1vFq$WBE99MPtV_0tydxWV;
IfcRailing;RAILING - 004;0eGjk6qajDFhrXeaVc0RtB;
IfcRailing;RAILING - 004;3kdcZAsHv0NBJOZqmr_Fl3;
IfcRailing;RAILING - 005;2Q5k4lieP1RvTL2ZMquJKO;
IfcRailing;RAILING - 004;0pGeTixEvDsfMn9noVMob1;
IfcRailing;RAILING - 005;2__nC21FrAYAT$sv__NRHa;
IfcSite;Site;20FpTZCqJy2vhVJYtjuIce;
IfcSlab;SLA - 015;0sZWdxOyjE_AyMSgHKdLU_;
IfcSlab;SLA - 014;2z4MbB2Dj1OxY6yYz7yJa2;
IfcSlab;SLA - 013;0OvbFoA01F0vk7UsRj_nCc;
IfcSlab;SLA - 016;0YHN1qvUr8A9ZakBWOML7W;
IfcSlab;SLA - 016;1vXd7EHyzFCxE7vZheWUhz;
IfcSlab;SLA - 016;3afOLgOfjC5eyzy06Zdqkz;
IfcSlab;SLA - 016;0A1lQByjj1hO7YdWQyDTew;
IfcStair;STAIR - 004;1j8lqENKb3SeKMzcZYuuRt;
IfcWall;ApproachWall;0qtTxVVJ98oRyMOqKLHpqy;
IfcWall;SW - 038;3p4EguI0f6CPAkyDNQIbxm;
IfcWall;SW - 038;15I9o3TCH2pQ0QQ8tUN14x;
IfcWall;ApproachWall;01XOXj$9b6EPbCvrHMJ$KO;
IfcWall;WL Side - 100;2_BxCgw6zEARAkB6iaS_fp;
IfcWall;WL Side - 100;1KwhobiYbB5hHqPtY6hCjK;
IfcWall;ApproachWall;2FXk1JWPP4N9K6XcuZDcvy;
IfcWall;ApproachWall;17zjHsm3PFNR3cdBCuxyig;
IfcWallStandardCase;SW - 039;3od9Ck4pv9APjNHbUgTZk_;
IfcWallStandardCase;SW - 040;1a1gNmLd95ewz3HOCCpTCl;
IfcWallStandardCase;SW - 048;0zVR0m8hvDJO09b6vXPK0w;
IfcWallStandardCase;SW - 047;3UuwwrWcH9CxDjJMd8QDPL;
IfcWallStandardCase;SW - 046;3y8GMttOH74gSqx1LM5Pqr;
IfcWallStandardCase;SW - 045;1FJ8ZT8h9DzfUUi8Rn7t1g;
IfcWallStandardCase;SW - 049;0dOawH6P9C_fiALLZT90ol;
IfcWallStandardCase;SW - 039;2CGQIoLS5EIwVLEoq9DWAq;
IfcWallStandardCase;SW - 040;3sks3V7yDCyPVFUayKJjci;
